차량 모델,차량 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,국가명,연도
Santa Fe,레저용 차량,7297,7993,13236,10953,10039,11624,10612,11732,12676,9700,13497,12215,US,2023
Palisade,레저용 차량,6684,6742,6176,6959,7013,5873,5752,6107,7551,7071,9185,14396,US,2023
GV60,레저용 차량,129,171,212,267,276,265,261,258,379,353,434,395,US,2023
GV70,레저용 차량,1401,1762,2100,2219,2047,1745,2416,2293,1828,1885,2028,2590,US,2023
GV70 EV,레저용 차량,0,0,45,161,187,133,109,158,166,174,294,247,US,2023
GV80,레저용 차량,1207,1241,1491,1474,1336,1506,1499,1938,1991,1790,2084,2140,US,2023
Accent,승용차,0,0,0,0,0,0,0,0,0,0,0,0,US,2024
Veloster,승용차,0,0,0,0,0,0,0,0,0,0,0,0,US,2024
Elantra,승용차,6900,8432,11528,10102,13311,12016,13764,14379,11186,12151,11344,11585,US,2024
IONIQ,승용차,0,0,0,0,0,0,0,0,0,0,0,0,US,2024
Sonata,승용차,3121,4379,5664,5348,6700,5935,5755,5953,5575,6300,6971,7642,US,2024
G70,승용차,986,686,1020,1035,931,838,850,1055,1137,1016,1548,1156,US,2024
G80 (RG3),승용차,229,320,419,321,388,313,250,311,257,268,362,320,US,2024
G80 (RG3 EV),승용차,23,26,55,9,11,16,24,79,52,44,29,29,US,2024
G90,승용차,202,100,140,75,95,85,112,118,90,178,150,158,US,2024
Venue,레저용 차량,1435,1959,2538,2401,2494,2544,2400,2470,1602,1444,1521,1799,US,2024
Kona,레저용 차량,6577,7024,9453,8273,8308,6904,6713,6112,5144,5685,6133,5846,US,2024
Tucson,레저용 차량,11116,15999,18394,15685,17371,13581,16135,20864,16802,19829,20178,20172,US,2024
Santa Cruz(Tucson O/B),레저용 차량,2487,2568,3362,2956,3603,2969,2615,2486,2125,2427,2393,2042,US,2024
Nexo,레저용 차량,23,11,17,13,6,7,2,8,2,4,0,1,US,2024
IONIQ 5,레저용 차량,1465,1993,3361,3702,4434,3746,3413,4838,3326,4498,4980,4595,US,2024
IONIQ 5 Robo Taxi,레저용 차량,0,3,0,0,15,9,3,0,10,0,9,0,US,2024
IONIQ 6,레저용 차량,760,902,1984,1253,1099,914,778,808,599,837,1121,1209,US,2024
Santa Fe,레저용 차량,6021,9239,10834,9728,10997,9803,8989,10152,7918,9644,12376,13309,US,2024
Palisade,레저용 차량,7638,7832,9785,9142,10147,9203,8635,11208,8202,8983,8982,10298,US,2024
GV60,레저용 차량,166,147,160,254,262,237,296,296,180,203,285,380,US,2024
GV70,레저용 차량,1471,1760,1684,1496,1894,2001,2483,3005,2343,2594,3086,3127,US,2024
GV70 EV,레저용 차량,114,146,155,379,732,349,198,178,92,154,149,330,US,2024
GV80,레저용 차량,1078,1420,2270,1939,1604,1780,1981,2344,2386,2446,2394,2659,US,2024
Accent,승용차,0,0,0,0,0,0,0,0,0,0,0,0,US,2025
Veloster,승용차,0,0,0,0,0,0,0,0,0,0,0,0,US,2025
Elantra,승용차,8866,0,0,0,0,0,0,0,0,0,0,0,US,2025
IONIQ,승용차,0,0,0,0,0,0,0,0,0,0,0,0,US,2025
Sonata,승용차,4757,0,0,0,0,0,0,0,0,0,0,0,US,2025
G70,승용차,642,0,0,0,0,0,0,0,0,0,0,0,US,2025
G80 (RG3),승용차,257,0,0,0,0,0,0,0,0,0,0,0,US,2025
G80 (RG3 EV),승용차,20,0,0,0,0,0,0,0,0,0,0,0,US,2025
G90,승용차,119,0,0,0,0,0,0,0,0,0,0,0,US,2025
Venue,레저용 차량,1600,0,0,0,0,0,0,0,0,0,0,0,US,2025
Kona,레저용 차량,4365,0,0,0,0,0,0,0,0,0,0,0,US,2025
Tucson,레저용 차량,15025,0,0,0,0,0,0,0,0,0,0,0,US,2025
Santa Cruz(Tucson O/B),레저용 차량,1786,0,0,0,0,0,0,0,0,0,0,0,US,2025
Nexo,레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,US,2025
IONIQ 5,레저용 차량,2249,0,0,0,0,0,0,0,0,0,0,0,US,2025
IONIQ 5 Robo Taxi,레저용 차량,1,0,0,0,0,0,0,0,0,0,0,0,US,2025
IONIQ 6,레저용 차량,871,0,0,0,0,0,0,0,0,0,0,0,US,2025
Santa Fe,레저용 차량,8296,0,0,0,0,0,0,0,0,0,0,0,US,2025
Palisade,레저용 차량,6687,0,0,0,0,0,0,0,0,0,0,0,US,2025
GV60,레저용 차량,189,0,0,0,0,0,0,0,0,0,0,0,US,2025
GV70,레저용 차량,1826,0,0,0,0,0,0,0,0,0,0,0,US,2025
GV70 EV,레저용 차량,195,0,0,0,0,0,0,0,0,0,0,0,US,2025
GV80,레저용 차량,1604,0,0,0,0,0,0,0,0,0,0,0,US,2025
