국가명,연도,월,y,ds
중동·아프리카,2023,7,16806,2023-07-01
북미-멕시코,2023,8,1178,2023-08-01
동유럽,2023,8,10916,2023-08-01
중동·아프리카,2023,8,18040,2023-08-01
북미-캐나다,2023,8,8382,2023-08-01
서유럽,2023,8,37232,2023-08-01
아시아,2023,8,24816,2023-08-01
중남미,2023,8,9664,2023-08-01
북미-미국,2023,8,45238,2023-08-01
북미-미국,2023,9,41938,2023-09-01
북미-멕시코,2023,9,1334,2023-09-01
동유럽,2023,9,10952,2023-09-01
북미-캐나다,2023,9,9320,2023-09-01
서유럽,2023,9,37426,2023-09-01
아시아,2023,9,21904,2023-09-01
중남미,2023,9,12208,2023-09-01
중동·아프리카,2023,9,13348,2023-09-01
중동·아프리카,2023,10,15296,2023-10-01
북미-미국,2023,10,49526,2023-10-01
북미-멕시코,2023,10,1334,2023-10-01
아시아,2023,10,22376,2023-10-01
동유럽,2023,10,12442,2023-10-01
서유럽,2023,10,34708,2023-10-01
북미-캐나다,2023,10,9104,2023-10-01
중남미,2023,10,11256,2023-10-01
아시아,2023,11,23682,2023-11-01
중남미,2023,11,13566,2023-11-01
중동·아프리카,2023,11,15510,2023-11-01
서유럽,2023,11,52006,2023-11-01
동유럽,2023,11,11834,2023-11-01
북미-멕시코,2023,11,388,2023-11-01
북미-캐나다,2023,11,12536,2023-11-01
북미-미국,2023,11,67902,2023-11-01
북미-미국,2023,12,61850,2023-12-01
북미-멕시코,2023,12,1390,2023-12-01
동유럽,2023,12,8090,2023-12-01
중동·아프리카,2023,12,14776,2023-12-01
중남미,2023,12,12052,2023-12-01
아시아,2023,12,28374,2023-12-01
서유럽,2023,12,45680,2023-12-01
북미-캐나다,2023,12,10658,2023-12-01
중동·아프리카,2024,1,15694,2024-01-01
북미-캐나다,2024,1,10480,2024-01-01
북미-미국,2024,1,69486,2024-01-01
서유럽,2024,1,53480,2024-01-01
아시아,2024,1,24270,2024-01-01
중남미,2024,1,9168,2024-01-01
동유럽,2024,1,12842,2024-01-01
북미-멕시코,2024,1,1940,2024-01-01
중동·아프리카,2024,2,14756,2024-02-01
아시아,2024,2,25780,2024-02-01
중남미,2024,2,6908,2024-02-01
서유럽,2024,2,40224,2024-02-01
북미-캐나다,2024,2,7468,2024-02-01
북미-미국,2024,2,57214,2024-02-01
북미-멕시코,2024,2,1294,2024-02-01
동유럽,2024,2,11074,2024-02-01
북미-멕시코,2024,3,1624,2024-03-01
중동·아프리카,2024,3,18858,2024-03-01
중남미,2024,3,9322,2024-03-01
아시아,2024,3,22946,2024-03-01
동유럽,2024,3,11622,2024-03-01
북미-미국,2024,3,68418,2024-03-01
북미-캐나다,2024,3,8086,2024-03-01
서유럽,2024,3,47032,2024-03-01
북미-미국,2024,4,84536,2024-04-01
북미-캐나다,2024,4,11642,2024-04-01
동유럽,2024,4,9836,2024-04-01
아시아,2024,4,26942,2024-04-01
중남미,2024,4,10412,2024-04-01
중동·아프리카,2024,4,16466,2024-04-01
서유럽,2024,4,39262,2024-04-01
북미-멕시코,2024,4,1274,2024-04-01
서유럽,2024,5,43422,2024-05-01
북미-멕시코,2024,5,1612,2024-05-01
아시아,2024,5,25176,2024-05-01
북미-미국,2024,5,74208,2024-05-01
중동·아프리카,2024,5,16062,2024-05-01
동유럽,2024,5,12126,2024-05-01
중남미,2024,5,10860,2024-05-01
북미-캐나다,2024,5,12354,2024-05-01
북미-캐나다,2024,6,11026,2024-06-01
북미-미국,2024,6,71406,2024-06-01
동유럽,2024,6,9496,2024-06-01
중남미,2024,6,10366,2024-06-01
아시아,2024,6,26816,2024-06-01
북미-멕시코,2024,6,422,2024-06-01
중동·아프리카,2024,6,16202,2024-06-01
서유럽,2024,6,41982,2024-06-01
동유럽,2024,7,7260,2024-07-01
아시아,2024,7,26072,2024-07-01
북미-멕시코,2024,7,1240,2024-07-01
중동·아프리카,2024,7,17282,2024-07-01
북미-미국,2024,7,70258,2024-07-01
중남미,2024,7,10718,2024-07-01
북미-캐나다,2024,7,13108,2024-07-01
서유럽,2024,7,37824,2024-07-01
북미-캐나다,2024,8,9010,2024-08-01
동유럽,2024,8,6592,2024-08-01
북미-멕시코,2024,8,778,2024-08-01
북미-미국,2024,8,65038,2024-08-01
서유럽,2024,8,34744,2024-08-01
아시아,2024,8,25262,2024-08-01
중남미,2024,8,11612,2024-08-01
중동·아프리카,2024,8,12456,2024-08-01
중동·아프리카,2024,9,13694,2024-09-01
동유럽,2024,9,7268,2024-09-01
북미-멕시코,2024,9,1010,2024-09-01
북미-미국,2024,9,56094,2024-09-01
북미-캐나다,2024,9,6858,2024-09-01
서유럽,2024,9,43676,2024-09-01
아시아,2024,9,19942,2024-09-01
중남미,2024,9,8280,2024-09-01
동유럽,2024,10,9646,2024-10-01
아시아,2024,10,23848,2024-10-01
북미-미국,2024,10,60280,2024-10-01
중동·아프리카,2024,10,17222,2024-10-01
중남미,2024,10,11074,2024-10-01
북미-멕시코,2024,10,980,2024-10-01
북미-캐나다,2024,10,8800,2024-10-01
서유럽,2024,10,54306,2024-10-01
서유럽,2024,11,49874,2024-11-01
중동·아프리카,2024,11,16066,2024-11-01
북미-캐나다,2024,11,8224,2024-11-01
북미-미국,2024,11,30114,2024-11-01
북미-멕시코,2024,11,1002,2024-11-01
동유럽,2024,11,8236,2024-11-01
중남미,2024,11,12386,2024-11-01
아시아,2024,11,24036,2024-11-01
중남미,2024,12,19440,2024-12-01
동유럽,2024,12,10964,2024-12-01
북미-멕시코,2024,12,2032,2024-12-01
아시아,2024,12,29146,2024-12-01
북미-미국,2024,12,47682,2024-12-01
북미-캐나다,2024,12,13404,2024-12-01
중동·아프리카,2024,12,28680,2024-12-01
서유럽,2024,12,37752,2024-12-01
서유럽,2025,1,21476,2025-01-01
북미-미국,2025,1,28515,2025-01-01
중동·아프리카,2025,1,8531,2025-01-01
북미-멕시코,2025,1,502,2025-01-01
중남미,2025,1,4045,2025-01-01
동유럽,2025,1,4723,2025-01-01
아시아,2025,1,10856,2025-01-01
북미-캐나다,2025,1,5180,2025-01-01
