국가,차량 모델,연도,월,판매량,날짜,브랜드,카테고리
북미-미국,G90,2023,5,113,2023-05-01,현대,기타
북미-미국,G90,2023,6,114,2023-06-01,현대,기타
북미-미국,G90,2023,7,108,2023-07-01,현대,기타
북미-미국,G90,2023,8,119,2023-08-01,현대,기타
북미-미국,G90,2023,9,92,2023-09-01,현대,기타
북미-미국,G90,2024,10,178,2024-10-01,현대,기타
북미-미국,G90,2024,11,150,2024-11-01,현대,기타
북미-미국,G90,2024,12,158,2024-12-01,현대,기타
북미-미국,G90,2024,1,202,2024-01-01,현대,기타
북미-미국,G90,2024,2,100,2024-02-01,현대,기타
북미-미국,G90,2024,3,140,2024-03-01,현대,기타
북미-미국,G90,2024,4,75,2024-04-01,현대,기타
북미-미국,G90,2024,5,95,2024-05-01,현대,기타
북미-미국,G90,2024,6,85,2024-06-01,현대,기타
북미-미국,G90,2024,7,112,2024-07-01,현대,기타
북미-미국,G90,2024,8,118,2024-08-01,현대,기타
북미-미국,G90,2024,9,90,2024-09-01,현대,기타
북미-미국,G90,2025,1,119,2025-01-01,현대,기타
북미-미국,GV60,2023,10,353,2023-10-01,현대,기타
북미-미국,GV60,2023,11,434,2023-11-01,현대,기타
북미-미국,GV60,2023,12,395,2023-12-01,현대,기타
북미-미국,GV60,2023,1,129,2023-01-01,현대,기타
북미-미국,GV60,2023,2,171,2023-02-01,현대,기타
북미-미국,GV60,2023,3,212,2023-03-01,현대,기타
북미-미국,GV60,2023,4,267,2023-04-01,현대,기타
북미-미국,GV60,2023,5,276,2023-05-01,현대,기타
북미-미국,GV60,2023,6,265,2023-06-01,현대,기타
북미-미국,GV60,2023,7,261,2023-07-01,현대,기타
북미-미국,GV60,2023,8,258,2023-08-01,현대,기타
북미-미국,GV60,2023,9,379,2023-09-01,현대,기타
북미-미국,GV60,2024,10,203,2024-10-01,현대,기타
북미-미국,GV60,2024,11,285,2024-11-01,현대,기타
북미-미국,GV60,2024,12,380,2024-12-01,현대,기타
북미-미국,GV60,2024,1,166,2024-01-01,현대,기타
북미-미국,GV60,2024,2,147,2024-02-01,현대,기타
북미-미국,GV60,2024,3,160,2024-03-01,현대,기타
북미-미국,GV60,2024,4,254,2024-04-01,현대,기타
북미-미국,GV60,2024,5,262,2024-05-01,현대,기타
북미-미국,GV60,2024,6,237,2024-06-01,현대,기타
북미-미국,GV60,2024,7,296,2024-07-01,현대,기타
북미-미국,GV60,2024,8,296,2024-08-01,현대,기타
북미-미국,GV60,2024,9,180,2024-09-01,현대,기타
북미-미국,GV60,2025,1,189,2025-01-01,현대,기타
북미-미국,GV70,2023,10,1885,2023-10-01,현대,SUV
북미-미국,GV70,2023,11,2028,2023-11-01,현대,SUV
북미-미국,GV70,2023,12,2590,2023-12-01,현대,SUV
북미-미국,GV70,2023,1,1401,2023-01-01,현대,SUV
북미-미국,GV70,2023,2,1762,2023-02-01,현대,SUV
북미-미국,GV70,2023,3,2100,2023-03-01,현대,SUV
북미-미국,GV70,2023,4,2219,2023-04-01,현대,SUV
북미-미국,GV70,2023,5,2047,2023-05-01,현대,SUV
북미-미국,GV70,2023,6,1745,2023-06-01,현대,SUV
북미-미국,GV70,2023,7,2416,2023-07-01,현대,SUV
북미-미국,GV70,2023,8,2293,2023-08-01,현대,SUV
북미-미국,GV70,2023,9,1828,2023-09-01,현대,SUV
북미-미국,GV70,2024,10,2594,2024-10-01,현대,SUV
북미-미국,GV70,2024,11,3086,2024-11-01,현대,SUV
북미-미국,GV70,2024,12,3127,2024-12-01,현대,SUV
북미-미국,GV70,2024,1,1471,2024-01-01,현대,SUV
북미-미국,GV70,2024,2,1760,2024-02-01,현대,SUV
북미-미국,GV70,2024,3,1684,2024-03-01,현대,SUV
북미-미국,GV70,2024,4,1496,2024-04-01,현대,SUV
북미-미국,GV70,2024,5,1894,2024-05-01,현대,SUV
북미-미국,GV70,2024,6,2001,2024-06-01,현대,SUV
북미-미국,GV70,2024,7,2483,2024-07-01,현대,SUV
북미-미국,GV70,2024,8,3005,2024-08-01,현대,SUV
북미-미국,GV70,2024,9,2343,2024-09-01,현대,SUV
북미-미국,GV70,2025,1,1826,2025-01-01,현대,SUV
북미-미국,GV70 (JKa),2023,10,3119,2023-10-01,현대,SUV
북미-미국,GV70 (JKa),2023,11,2565,2023-11-01,현대,SUV
북미-미국,GV70 (JKa),2023,12,840,2023-12-01,현대,SUV
북미-미국,GV70 (JKa),2023,1,625,2023-01-01,현대,SUV
북미-미국,GV70 (JKa),2023,2,625,2023-02-01,현대,SUV
북미-미국,GV70 (JKa),2023,3,625,2023-03-01,현대,SUV
북미-미국,GV70 (JKa),2023,4,625,2023-04-01,현대,SUV
북미-미국,GV70 (JKa),2023,5,625,2023-05-01,현대,SUV
북미-미국,GV70 (JKa),2023,6,625,2023-06-01,현대,SUV
북미-미국,GV70 (JKa),2023,7,1120,2023-07-01,현대,SUV
북미-미국,GV70 (JKa),2023,8,1587,2023-08-01,현대,SUV
북미-미국,GV70 (JKa),2023,9,1477,2023-09-01,현대,SUV
북미-미국,GV70 (JKa),2024,10,1773,2024-10-01,현대,SUV
북미-미국,GV70 (JKa),2024,11,1659,2024-11-01,현대,SUV
북미-미국,GV70 (JKa),2024,12,1262,2024-12-01,현대,SUV
북미-미국,GV70 (JKa),2024,1,3281,2024-01-01,현대,SUV
북미-미국,GV70 (JKa),2024,2,1565,2024-02-01,현대,SUV
북미-미국,GV70 (JKa),2024,3,625,2024-03-01,현대,SUV
북미-미국,GV70 (JKa),2024,4,3120,2024-04-01,현대,SUV
북미-미국,GV70 (JKa),2024,5,2325,2024-05-01,현대,SUV
북미-미국,GV70 (JKa),2024,6,915,2024-06-01,현대,SUV
북미-미국,GV70 (JKa),2024,7,1357,2024-07-01,현대,SUV
북미-미국,GV70 (JKa),2024,8,1777,2024-08-01,현대,SUV
북미-미국,GV70 (JKa),2024,9,1739,2024-09-01,현대,SUV
북미-미국,GV70 (JKa),2025,1,1930,2025-01-01,현대,SUV
북미-미국,GV70 EV,2023,10,174,2023-10-01,현대,SUV
북미-미국,GV70 EV,2023,11,294,2023-11-01,현대,SUV
북미-미국,GV70 EV,2023,12,247,2023-12-01,현대,SUV
북미-미국,GV70 EV,2023,1,45,2023-01-01,현대,SUV
북미-미국,GV70 EV,2023,2,45,2023-02-01,현대,SUV
북미-미국,GV70 EV,2023,3,45,2023-03-01,현대,SUV
북미-미국,GV70 EV,2023,4,161,2023-04-01,현대,SUV
북미-미국,GV70 EV,2023,5,187,2023-05-01,현대,SUV
북미-미국,GV70 EV,2023,6,133,2023-06-01,현대,SUV
북미-미국,GV70 EV,2023,7,109,2023-07-01,현대,SUV
북미-미국,GV70 EV,2023,8,158,2023-08-01,현대,SUV
북미-미국,GV70 EV,2023,9,166,2023-09-01,현대,SUV
북미-미국,GV70 EV,2024,10,154,2024-10-01,현대,SUV
북미-미국,GV70 EV,2024,11,149,2024-11-01,현대,SUV
북미-미국,GV70 EV,2024,12,330,2024-12-01,현대,SUV
북미-미국,GV70 EV,2024,1,114,2024-01-01,현대,SUV
북미-미국,GV70 EV,2024,2,146,2024-02-01,현대,SUV
북미-미국,GV70 EV,2024,3,155,2024-03-01,현대,SUV
북미-미국,GV70 EV,2024,4,379,2024-04-01,현대,SUV
북미-미국,GV70 EV,2024,5,732,2024-05-01,현대,SUV
북미-미국,GV70 EV,2024,6,349,2024-06-01,현대,SUV
북미-미국,GV70 EV,2024,7,198,2024-07-01,현대,SUV
북미-미국,GV70 EV,2024,8,178,2024-08-01,현대,SUV
북미-미국,GV70 EV,2024,9,92,2024-09-01,현대,SUV
북미-미국,GV70 EV,2025,1,195,2025-01-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,10,539,2023-10-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,11,338,2023-11-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,12,213,2023-12-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,1,24,2023-01-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,2,24,2023-02-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,3,184,2023-03-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,4,295,2023-04-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,5,180,2023-05-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,6,87,2023-06-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,7,154,2023-07-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,8,465,2023-08-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2023,9,158,2023-09-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,10,169,2024-10-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,11,177,2024-11-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,12,129,2024-12-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,1,204,2024-01-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,2,180,2024-02-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,3,192,2024-03-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,4,184,2024-04-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,5,190,2024-05-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,6,370,2024-06-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,7,354,2024-07-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,8,331,2024-08-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2024,9,168,2024-09-01,현대,SUV
북미-미국,GV70 EV (Jka EV),2025,1,227,2025-01-01,현대,SUV
북미-미국,GV80,2023,10,1790,2023-10-01,현대,기타
북미-미국,GV80,2023,11,2084,2023-11-01,현대,기타
북미-미국,GV80,2023,12,2140,2023-12-01,현대,기타
북미-미국,GV80,2023,1,1207,2023-01-01,현대,기타
북미-미국,GV80,2023,2,1241,2023-02-01,현대,기타
북미-미국,GV80,2023,3,1491,2023-03-01,현대,기타
북미-미국,GV80,2023,4,1474,2023-04-01,현대,기타
북미-미국,GV80,2023,5,1336,2023-05-01,현대,기타
북미-미국,GV80,2023,6,1506,2023-06-01,현대,기타
북미-미국,GV80,2023,7,1499,2023-07-01,현대,기타
북미-미국,GV80,2023,8,1938,2023-08-01,현대,기타
북미-미국,GV80,2023,9,1991,2023-09-01,현대,기타
북미-미국,GV80,2024,10,2446,2024-10-01,현대,기타
북미-미국,GV80,2024,11,2394,2024-11-01,현대,기타
북미-미국,GV80,2024,12,2659,2024-12-01,현대,기타
북미-미국,GV80,2024,1,1078,2024-01-01,현대,기타
북미-미국,GV80,2024,2,1420,2024-02-01,현대,기타
북미-미국,GV80,2024,3,2270,2024-03-01,현대,기타
북미-미국,GV80,2024,4,1939,2024-04-01,현대,기타
북미-미국,GV80,2024,5,1604,2024-05-01,현대,기타
북미-미국,GV80,2024,6,1780,2024-06-01,현대,기타
북미-미국,GV80,2024,7,1981,2024-07-01,현대,기타
북미-미국,GV80,2024,8,2344,2024-08-01,현대,기타
북미-미국,GV80,2024,9,2386,2024-09-01,현대,기타
북미-미국,GV80,2025,1,1604,2025-01-01,현대,기타
북미-미국,IONIQ 5,2023,10,2979,2023-10-01,현대,기타
북미-미국,IONIQ 5,2023,11,2372,2023-11-01,현대,기타
북미-미국,IONIQ 5,2023,12,3261,2023-12-01,현대,기타
북미-미국,IONIQ 5,2023,1,1548,2023-01-01,현대,기타
북미-미국,IONIQ 5,2023,2,2074,2023-02-01,현대,기타
북미-미국,IONIQ 5,2023,3,2114,2023-03-01,현대,기타
북미-미국,IONIQ 5,2023,4,2323,2023-04-01,현대,기타
북미-미국,IONIQ 5,2023,5,2446,2023-05-01,현대,기타
