국가명,공장명(국가),차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Latin America,China Plants,KX3 / Seltos,669,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,China Plants,KX5 / Sportage,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,China Plants,KX7,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Special Vehicle,Millitary,0,0,21,0,0,0,0,0,0,0,13,0,2023
Latin America,Special Vehicle,Millitary,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Special Vehicle,Millitary,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Special Vehicle,Millitary (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Special Vehicle,Millitary (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Special Vehicle,Millitary (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,Mohave / Borrego,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Korea Plants,Mohave / Borrego,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Mohave / Borrego,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,CKD,Morning / Picanto,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,CKD,Morning / Picanto,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Morning / Picanto,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Korea Plants,Morning / Picanto,1564,1754,1212,1549,1405,1712,1516,1344,1484,1368,1323,1690,2024
Latin America,Korea Plants,Morning / Picanto,1440,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Morning / Picanto,1452,1688,1903,1832,2187,2057,1869,2643,2167,2149,1662,2092,2023
Latin America,CKD,New Carens,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,CKD (excl. Russia),New Carens,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,CKD,Niro,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Niro,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Korea Plants,Niro,89,88,144,184,170,176,198,196,175,199,232,303,2024
Latin America,Korea Plants,Niro,236,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Niro,46,28,66,108,52,51,89,70,86,128,141,165,2023
Latin America,Korea Plants,Niro EV,8,7,82,15,10,9,0,2,0,15,2,2,2024
Latin America,Korea Plants,Niro EV,1,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Niro EV,6,6,9,6,5,22,8,11,8,7,16,17,2023
Latin America,Korea Plants,Niro Plus,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Korea Plants,Niro Plus,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Niro Plus,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Korea Plants,Niro Plus EV,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Korea Plants,Niro Plus EV,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Niro Plus EV,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,US Plant,Optima / K5,0,0,0,16,15,19,15,8,27,19,9,14,2023
Latin America,US Plant,Optima / K5,16,4,7,5,10,6,4,3,0,1,2,0,2024
Latin America,US Plant,Optima / K5,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,PV5,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD,Pegas,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,CKD,Pegas,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Pegas,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,China Plants,Pegas,1555,1740,1468,2699,1883,2056,2104,1684,1573,2190,2418,2039,2023
Latin America,China Plants,Pegas,1446,2000,2060,2030,2145,1948,2048,2377,1978,2121,2009,2187,2024
Latin America,China Plants,Pegas,1456,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,Pride / Rio,0,1,0,1,0,0,0,0,0,0,0,0,2024
Latin America,Korea Plants,Pride / Rio,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Pride / Rio,68,54,61,113,63,82,68,53,76,21,9,102,2023
Latin America,"*Russia Plant
(HMMR)",Pride / Rio (FB),0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,*Russia Plant(HMMR),Pride / Rio (FB),0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Russia Plant(incl. CKD Sales),Pride / Rio (FB),0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Mexico Plant,Pride / Rio (SC),831,871,1043,756,903,755,872,1073,1250,1031,1136,1061,2023
Latin America,Mexico Plant,Pride / Rio (SC),969,941,1189,914,1285,1052,1075,1293,1417,1327,1445,1391,2024
Latin America,Mexico Plant,Pride / Rio (SC),1039,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,Ray,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Korea Plants,Ray,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,Ray EV,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,Korea Plants,Ray EV,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD,Seltos,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,CKD,Seltos,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Seltos,0,0,0,0,0,0,0,0,40,20,0,0,2023
Latin America,China Plants,Seltos,0,0,0,0,0,0,0,159,106,521,606,719,2023
Latin America,India Plant,Seltos,126,147,201,231,200,217,162,158,161,161,200,249,2024
Latin America,India Plant,Seltos,148,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,India Plants,Seltos,954,1178,1492,1064,1019,910,845,1015,785,494,336,253,2023
Latin America,Korea Plants,Seltos,551,468,538,630,658,617,682,891,678,505,643,492,2024
Latin America,Korea Plants,Seltos,521,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Seltos,363,327,230,142,436,754,554,381,444,364,365,243,2023
Latin America,Russia Plant(incl. CKD Sales),Seltos (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,CKD,Sonet,240,250,400,320,350,256,344,238,248,236,106,199,2024
Latin America,CKD,Sonet,143,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Sonet,0,204,162,198,240,294,359,372,349,320,375,397,2023
Latin America,China Plants,Sonet,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,China Plants,Sonet,0,1,21,126,556,856,995,1085,1130,1365,1389,1344,2024
Latin America,China Plants,Sonet,1036,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,India Plant,Sonet,970,1098,736,538,325,151,71,88,90,91,61,76,2024
Latin America,India Plant,Sonet,52,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,India Plants,Sonet,883,728,669,622,853,837,1043,1278,1167,1379,1238,1393,2023
Latin America,CKD,Sorento,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,CKD,Sorento,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Sorento,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Korea Plants,Sorento,117,202,238,228,155,161,239,195,241,211,188,246,2024
Latin America,Korea Plants,Sorento,176,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Sorento,216,179,265,164,262,183,171,154,307,170,138,127,2023
Latin America,US Plant,Sorento,37,27,20,35,14,18,16,15,28,27,27,34,2023
Latin America,US Plant,Sorento,25,24,31,57,44,19,32,45,51,54,60,55,2024
Latin America,US Plant,Sorento,49,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Russia Plant(incl. CKD Sales),Sorento (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,CKD,Soul,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,CKD,Soul,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,Soul,170,199,194,198,226,324,289,254,474,311,292,274,2024
Latin America,Korea Plants,Soul,303,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Soul,220,222,107,62,116,179,204,205,206,172,203,269,2023
Latin America,Russia Plant(incl. CKD Sales),Soul (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Korea Plants,Soul EV,1,3,4,4,4,0,1,4,3,2,0,1,2024
Latin America,Korea Plants,Soul EV,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Soul EV,7,0,1,0,0,0,0,0,4,19,5,3,2023
Latin America,CKD,Sportage,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,CKD,Sportage,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Sportage,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,China Plants,Sportage,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,Sportage,707,567,723,730,721,828,666,711,596,756,842,830,2024
Latin America,Korea Plants,Sportage,601,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Sportage,824,891,679,577,875,728,662,743,795,696,576,810,2023
Latin America,Slovakia Plant,Sportage,455,436,381,431,488,378,606,488,469,441,498,582,2023
Latin America,Slovakia Plant,Sportage,382,442,459,554,484,496,509,567,431,538,402,504,2024
Latin America,Slovakia Plant,Sportage,359,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,US Plant,Sportage,0,0,39,46,53,8,1,1,30,42,30,22,2023
Latin America,US Plant,Sportage,10,14,31,34,24,26,34,29,23,18,22,32,2024
Latin America,US Plant,Sportage,18,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,China Plants,Sportage(KX5),0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Korea Plants,Stinger,0,1,2,0,0,0,0,0,0,0,0,0,2024
Latin America,Korea Plants,Stinger,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Stinger,0,2,1,0,0,0,0,1,0,0,1,0,2023
Latin America,CKD,Stonic,0,0,0,0,0,0,0,0,0,0,0,0,2024
