차량 모델,차량 유형,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Santa-Fe (MX5 PHEV),레저용 차량,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2023
Palisade (LX2),레저용 차량,수출용,5222.0,9456.0,10062.0,8074.0,8743.0,9340.0,9980.0,10334.0,11400.0,14805.0,13347.0,14205.0,2023
GV60 (JW),레저용 차량,수출용,966.0,796.0,864.0,589.0,618.0,546.0,618.0,653.0,566.0,302.0,151.0,278.0,2023
GV70 (JK),레저용 차량,수출용,2190.0,3450.0,2615.0,2549.0,3207.0,1781.0,889.0,424.0,726.0,1015.0,807.0,558.0,2023
GV70 EV (JK EV),레저용 차량,수출용,139.0,378.0,199.0,93.0,62.0,108.0,121.0,88.0,85.0,109.0,46.0,70.0,2023
GV80 (JX),레저용 차량,수출용,1884.0,1842.0,2343.0,2277.0,2472.0,2350.0,2711.0,2296.0,2072.0,3298.0,1691.0,2373.0,2023
LCV,상용차,수출용,3049.0,3696.0,3695.0,4618.0,4013.0,4252.0,4203.0,3245.0,3804.0,4094.0,3737.0,3664.0,2023
HCV,상용차,수출용,482.0,553.0,732.0,752.0,928.0,930.0,660.0,731.0,661.0,737.0,640.0,554.0,2023
Xcent (AI3 4DR),기타,내수용,5516.0,5053.0,4883.0,4526.0,4433.0,4299.0,4757.0,4304.0,4462.0,4805.0,4248.0,3852.0,2024
Grand i10 (AI3 5DR),기타,내수용,6865.0,4947.0,5034.0,5117.0,5328.0,4948.0,4922.0,5365.0,5103.0,6235.0,5667.0,4489.0,2024
i20 (BI3 5DR),기타,내수용,7083.0,5131.0,5155.0,5199.0,5169.0,5315.0,4937.0,4913.0,4428.0,5354.0,3925.0,3453.0,2024
Verna (Hci),기타,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Verna (BN7i),기타,내수용,2168.0,1678.0,1712.0,1571.0,1381.0,1424.0,1420.0,1194.0,1198.0,1272.0,1213.0,872.0,2024
Exter (AI3 SUV),레저용 차량,내수용,8229.0,7582.0,8475.0,7756.0,7697.0,6908.0,6037.0,6632.0,6908.0,7127.0,5747.0,5270.0,2024
Venue (QXi),기타,내수용,11831.0,8933.0,9614.0,9120.0,9327.0,9890.0,8840.0,9085.0,10259.0,10901.0,9754.0,10265.0,2024
Creta (SU2i),기타,내수용,13212.0,15276.0,16458.0,15447.0,14662.0,16293.0,17350.0,16762.0,15902.0,17497.0,15452.0,12608.0,2024
Creta (SU2i LWB),기타,내수용,1827.0,1290.0,1420.0,1219.0,944.0,882.0,585.0,1105.0,2712.0,2204.0,2134.0,1342.0,2024
Kona EV (OSi EV),기타,내수용,102.0,86.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
IONIQ5 (NEi),기타,내수용,95.0,66.0,65.0,45.0,42.0,30.0,35.0,40.0,31.0,32.0,22.0,24.0,2024
Tucson (NX4i),기타,내수용,183.0,157.0,110.0,201.0,168.0,114.0,129.0,125.0,98.0,141.0,84.0,33.0,2024
Xcent (AI3 4DR),기타,수출용,1452.0,1394.0,2701.0,3407.0,2950.0,2700.0,2685.0,2564.0,2537.0,2173.0,2153.0,2423.0,2024
Grand i10 (AI3 5DR),기타,수출용,2821.0,3480.0,2675.0,2925.0,3671.0,3704.0,4564.0,4395.0,3388.0,4707.0,3376.0,4072.0,2024
i20 (BI3 5DR),기타,수출용,226.0,407.0,577.0,265.0,887.0,410.0,375.0,587.0,532.0,512.0,1045.0,95.0,2024
Verna (Hci),기타,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Verna (BN7i),기타,수출용,4845.0,3475.0,4730.0,4499.0,4047.0,5416.0,4673.0,3563.0,4863.0,4641.0,4031.0,4054.0,2024
