차량 모델,차량 유형,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
i30 (PD),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Veloster (JS N),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Sonata (DN8),승용차,수출용,5386,0,0,0,0,0,0,0,0,0,0,0,2025
Sonata (DN8 HEV),승용차,수출용,1770,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (IG),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (IG HEV),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (GN7),승용차,수출용,277,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (GN7 HEV),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ 6 (CE),승용차,수출용,682,0,0,0,0,0,0,0,0,0,0,0,2025
G70 (IK),승용차,수출용,894,0,0,0,0,0,0,0,0,0,0,0,2025
G70 S/B (IK S/B),승용차,수출용,11,0,0,0,0,0,0,0,0,0,0,0,2025
G80 (RG3),승용차,수출용,372,0,0,0,0,0,0,0,0,0,0,0,2025
G80 (RG3 EV),승용차,수출용,1,0,0,0,0,0,0,0,0,0,0,0,2025
G90 (HI),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
G90 (RS4),승용차,수출용,144,0,0,0,0,0,0,0,0,0,0,0,2025
Casper (AX),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Casper EV (AX EV),레저용 차량,수출용,2867,0,0,0,0,0,0,0,0,0,0,0,2025
Venue (QX),레저용 차량,수출용,5314,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (OS),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (OS HEV),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (OS EV),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona N (OS N),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (SX2),레저용 차량,수출용,12202,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (SX2 HEV),레저용 차량,수출용,6421,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (SX2 EV),레저용 차량,수출용,1680,0,0,0,0,0,0,0,0,0,0,0,2025
Tucson (TL),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Tucson (NX4),레저용 차량,수출용,2558,0,0,0,0,0,0,0,0,0,0,0,2025
Tucson (NX4 HEV),레저용 차량,수출용,5908,0,0,0,0,0,0,0,0,0,0,0,2025
Tucson (NX4 PHEV),레저용 차량,수출용,851,0,0,0,0,0,0,0,0,0,0,0,2025
NEXO (FE),레저용 차량,수출용,3,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ 5 (NE),레저용 차량,수출용,2743,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ 5 N (NE N),레저용 차량,수출용,216,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ New Car (ME),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (TM),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (TM HEV),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (TM PHEV),레저용 차량,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (MX5),레저용 차량,수출용,972,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (MX5 HEV),레저용 차량,수출용,1648,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (MX5 PHEV),레저용 차량,수출용,778,0,0,0,0,0,0,0,0,0,0,0,2025
Palisade (LX2),레저용 차량,수출용,10942,0,0,0,0,0,0,0,0,0,0,0,2025
Palisade (LX3),레저용 차량,수출용,3,0,0,0,0,0,0,0,0,0,0,0,2025
Palisade (LX3 HEV),레저용 차량,수출용,1,0,0,0,0,0,0,0,0,0,0,0,2025
GV60 (JW),레저용 차량,수출용,240,0,0,0,0,0,0,0,0,0,0,0,2025
GV70 (JK),레저용 차량,수출용,650,0,0,0,0,0,0,0,0,0,0,0,2025
GV70 EV (JK EV),레저용 차량,수출용,42,0,0,0,0,0,0,0,0,0,0,0,2025
GV80 (JX),레저용 차량,수출용,1984,0,0,0,0,0,0,0,0,0,0,0,2025
GV80 Coupe (JX Coupe),레저용 차량,수출용,370,0,0,0,0,0,0,0,0,0,0,0,2025
LCV,상용차,수출용,2891,0,0,0,0,0,0,0,0,0,0,0,2025
HCV,상용차,수출용,229,0,0,0,0,0,0,0,0,0,0,0,2025
