Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China,Korea
K5,CKD (excl. Russia),23-01,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
K8,CKD (excl. Russia),23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,CKD (excl. Russia),23-01,1557.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,1356.0,0.0,0.0
Stonic,CKD (excl. Russia),23-01,134.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0
Seltos,CKD (excl. Russia),23-01,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0
Niro,CKD (excl. Russia),23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV6,CKD (excl. Russia),23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,CKD (excl. Russia),23-01,574.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,229.0,0.0,0.0
Sorento,CKD (excl. Russia),23-01,131.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,34.0,0.0,0.0
Carens,CKD (excl. Russia),23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-01,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
Carnival,CKD (excl. Russia),23-01,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0
Bongo,CKD (excl. Russia),23-01,572.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,325.0,0.0,0.0
Bongo,Special Vehicle,23-01,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
Millitary,Special Vehicle,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-01,82.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus,Special Vehicle,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morning,Korean Plant,23-02,0.0,0.0,0.0,3962.0,458.0,1688.0,741.0,1152.0,594.0,0.0,0.0,0.0
Rio,Korean Plant,23-02,0.0,0.0,0.0,2218.0,48.0,54.0,316.0,855.0,552.0,0.0,0.0,0.0
K3,Korean Plant,23-02,0.0,83.0,29.0,0.0,164.0,2.0,306.0,5.0,442.0,0.0,0.0,0.0
K5,Korean Plant,23-02,0.0,0.0,0.0,0.0,360.0,8.0,911.0,3.0,0.0,0.0,0.0,0.0
Stinger,Korean Plant,23-02,622.0,102.0,6.0,118.0,19.0,2.0,7.0,0.0,248.0,0.0,0.0,0.0
K8,Korean Plant,23-02,0.0,0.0,0.0,0.0,26.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0
K9,Korean Plant,23-02,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonic,Korean Plant,23-02,0.0,0.0,0.0,4888.0,614.0,238.0,344.0,134.0,806.0,0.0,0.0,0.0
Seltos,Korean Plant,23-02,3744.0,1977.0,0.0,0.0,210.0,327.0,650.0,0.0,641.0,0.0,0.0,0.0
Soul,Korean Plant,23-02,5233.0,309.0,258.0,0.0,114.0,222.0,5.0,0.0,2.0,0.0,0.0,0.0
Soul,Korean Plant,23-02,0.0,22.0,0.0,116.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Niro,Korean Plant,23-02,2404.0,2.0,113.0,2326.0,10.0,28.0,116.0,48.0,169.0,0.0,0.0,0.0
Niro,Korean Plant,23-02,974.0,0.0,0.0,2211.0,9.0,6.0,16.0,19.0,138.0,0.0,0.0,0.0
Niro,Korean Plant,23-02,0.0,0.0,0.0,0.0,0.0,0.0,536.0,7.0,67.0,0.0,0.0,0.0
Niro,Korean Plant,23-02,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,24.0,0.0,0.0,0.0
EV6,Korean Plant,23-02,1294.0,112.0,0.0,2223.0,4.0,0.0,22.0,16.0,289.0,20.0,0.0,0.0
EV9,Korean Plant,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,Korean Plant,23-02,3038.0,1004.0,0.0,0.0,1412.0,891.0,0.0,0.0,1358.0,0.0,0.0,0.0
Sorento,Korean Plant,23-02,1618.0,56.0,0.0,1074.0,662.0,179.0,969.0,121.0,1208.0,0.0,0.0,0.0
Mohave / Borrego,Korean Plant,23-02,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,Korean Plant,23-02,2460.0,636.0,0.0,0.0,178.0,207.0,214.0,32.0,1568.0,0.0,0.0,0.0
Bongo,Korean Plant,23-02,0.0,0.0,0.0,0.0,119.0,567.0,1099.0,295.0,248.0,0.0,0.0,0.0
Bus,Korean Plant,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceed,Slovakia Plant,23-02,0.0,0.0,0.0,6606.0,479.0,0.0,57.0,19.0,18.0,0.0,0.0,0.0
Ceed CUV,Slovakia Plant,23-02,0.0,0.0,0.0,3502.0,112.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0
Sportage,Slovakia Plant,23-02,0.0,0.0,0.0,10191.0,481.0,436.0,2022.0,543.0,0.0,0.0,0.0,0.0
